StudyTime,PreviousTestScore,Pass,ParentEducation
5,90,1,1
10,95,1,1
2,60,2,1
8,85,1,2
1,50,2,1
7,80,1,0
4,75,2,0
9,88,1,0
3,65,2,2
6,70,2,1
5,92,1,4
10,98,1,1
2,61,2,0
8,86,1,4
1,49,0,0
7,81,1,4
4,74,2,3
9,89,1,0
3,66,2,4
6,71,2,4
5,93,1,3
10,99,1,0
2,62,2,4
8,87,1,4
1,48,0,2
7,82,1,2
4,73,2,1
9,90,1,4
3,67,2,3
6,72,2,3
5,94,1,4
10,100,1,0
2,63,2,4
8,88,1,0
1,47,0,0
7,83,1,0
4,72,2,3
9,91,1,2
3,68,2,3
6,73,2,1
5,95,1,3
10,96,1,2
2,64,2,0
8,89,1,4
1,46,0,4
7,84,1,3
4,71,2,3
9,92,1,3
3,69,2,0
6,74,2,3
5,96,1,3
10,97,1,2
2,65,2,4
8,90,1,4
1,45,0,3
7,85,1,3
4,70,2,4
9,93,1,3
3,70,2,3
6,75,2,1
5,97,1,3
10,98,1,1
2,66,2,2
8,91,1,0
1,44,0,2
7,86,1,0
4,69,2,2
9,94,1,3
3,71,2,2
6,76,2,2
5,98,1,3
10,99,1,2
2,67,2,1
8,92,1,2
1,43,0,4
7,87,1,4
4,68,2,2
9,95,1,3
3,72,2,1
6,77,2,3
5,99,1,1
10,100,1,2
2,68,2,4
8,93,1,2
1,42,0,0
7,88,1,0
4,67,2,4
9,96,1,2
3,73,2,4
6,78,2,2
5,100,1,0
10,99,1,3
2,69,2,3
8,94,1,2
1,41,0,2
7,89,1,2
4,66,2,4
9,97,1,4
3,74,2,4
6,79,2,4
5,95,1,0
10,98,1,2
2,70,2,4
8,95,1,3
1,40,0,4
7,90,1,0
4,65,2,2
9,96,1,1
3,75,2,3
6,80,1,4
5,94,1,0
10,97,1,1
2,71,2,0
8,94,1,3
1,39,0,2
7,91,1,4
4,64,2,2
9,95,1,3
3,76,2,3
6,81,1,0
5,93,1,2
10,96,1,2
2,72,2,3
8,93,1,1
1,38,0,4
7,92,1,3
4,63,2,2
9,94,1,3
3,77,2,2
6,82,1,4
5,92,1,2
10,95,1,2
2,73,2,3
8,92,1,0
1,37,0,2
7,93,1,4
4,62,2,3
9,93,1,1
3,78,2,0
6,83,1,2
5,91,1,1
10,94,1,2
2,74,2,4
8,91,1,4
1,36,0,0
7,94,1,3
4,61,2,4
9,92,1,1
3,79,2,4
6,84,1,4
5,90,1,4
10,93,1,2
2,75,2,1
8,90,1,1
1,35,0,1
7,95,1,3
4,60,2,0
9,91,1,4
3,80,1,4
6,85,1,1
